code,description
79796-9,Flicker resp amp L ret light-adapt ERG
79797-7,Flick resp wave imp time Ret-R lt-ad ERG
7979-8,HPIV2 Ab Ser-aCnc
79798-5,Flick resp wave imp time Ret-L lt-ad ERG
79799-3,ERG device Vendor name
79800-9,ERG ISCEV standard protocol used
79801-7,Type of ERG rec electrode
79802-5,Type of ERG ref electrode
79803-3,Ocular motility Eye by Finger follow
79804-1,Visual field defects Eye-R
79805-8,Visual field defects Eye-L
7980-6,HPIV3 Ab Ser-aCnc
79806-6,Type of Visual field exam method
79807-4,R eye Visual field def Confrontation
79808-2,L eye Visual field def Confrontation
79809-0,Study obs Ocular fund-R Angio W fluor IV
79810-8,Study obs Ocular fund-L Angio W fluor IV
79811-6,Study obs Ocul fund-R Angio W indocy gr
79812-4,Study obs Ocul fund-L Angio W indocy gr
79813-2,R cornea Corneal curvature by KM
7981-4,B19V IgM Ser Ql
79814-0,L cornea Corneal curvature by KM
79815-7,R pupil Pupillary resp
79816-5,R ret Foveal thickness OCT
79817-3,L ret Foveal thickness OCT
79818-1,Study obs R ret OCT
79819-9,Study obs L ret OCT
79820-7,R macula Phys find Ophthalmoscopy
79821-5,L macula Phys find Ophthalmoscopy
7982-2,B19V Ab Ser-aCnc
79822-3,RPE Fundus hypopig Ophthalmoscopy
79823-1,Type of Glaucoma Ophthalmoscopy
79824-9,Type of Ophthalmoscopy method
79825-6,R cornea Cent corn thickness Pachymetry
79826-4,L cornea Cent corn thickness Pachymetry
79827-2,R eye Contr sens Pelli-Robson
79828-0,L eye Contr sens Pelli-Robson
79829-8,R eye Axis--W cyclo Obj refraction
7983-0,B19V IgG Ser-aCnc
79830-6,L eye Axis--W cyclo Obj refraction
79831-4,R eye Axis--WO cyclo Obj refraction
79832-2,L eye Axis--WO cyclo Obj refraction
79833-0,R eye Cylinder--W cyclo Obj refraction
79834-8,L eye Cylinder--W cyclo Obj refraction
79835-5,R eye Cylinder--WO cyclo Obj refraction
79836-3,L eye Cylinder--WO cyclo Obj refraction
79837-1,R eye Sphere--W cyclo Obj refraction
79838-9,L eye Sphere--W cyclo Obj refraction
79839-7,R eye Sphere--WO cyclo Obj refraction
79840-5,L eye Sphere--WO cyclo Obj refraction
79841-3,Type of Obj refract method
79842-1,R eye Axis--W cyclo Subj refraction
79843-9,L eye Axis--W cyclo Subj refraction
79844-7,R eye Axis--WO cyclo Subj refraction
79845-4,L eye Axis--WO cyclo Subj refraction
79846-2,R eye Cylinder--W cyclo Subj refraction
79847-0,L eye Cylinder--W cyclo Subj refraction
7984-8,B19V IgM Ser-aCnc
79848-8,R eye Cylinder--WO cyclo Subj refraction
79849-6,L eye Cylinder--WO cyclo Subj refraction
79850-4,R eye Sphere--W cyclo Subj refraction
79851-2,L eye Sphere--W cyclo Subj refraction
79852-0,R eye Sphere--WO cyclo Subj refraction
79853-8,L eye Sphere--WO cyclo Subj refraction
79854-6,Type of Subj refract method
7985-5,PV1 Ab Ser-aCnc
79855-3,R palpebral fiss Opening ht
79856-1,L palpebral fiss Opening ht
79857-9,Study obs R ant chamber Slit lamp
79858-7,Study obs L Ant chamber Slit lamp
79859-5,Study obs R conj+sclera Slit lamp
79860-3,Study obs L conj+sclera Slit lamp
79861-1,Study obs R cornea Slit lamp
79862-9,Study obs L cornea Slit lamp
7986-3,PV2 Ab Ser-aCnc
79863-7,Study obs R iris Slit lamp
79864-5,Study obs L iris Slit lamp
79865-2,Study obs R optic lens Slit lamp
79866-0,Study obs L optic lens Slit lamp
79867-8,Type of Opac Optic lens-R by Slit lamp
79868-6,Type of Opac Optic lens-L by Slit lamp
79869-4,Stu obs Lids & Lashes & Adnexa Slit lamp
79870-2,Pupil shape eye-R Slit lamp
7987-1,PV3 Ab Ser-aCnc
79871-0,Pupil shape eye-L Slit lamp
79872-8,Study obs Vitreous body-R Slit lamp
79873-6,Study obs Vitreous body-L Slit lamp
79874-4,R iris Transillumination Slit lamp
79875-1,L iris Transillumination Slit lamp
79876-9,R eye Vis acuity--corr ETDRS
79877-7,L eye Vis acuity--corr ETDRS
79878-5,R eye Vis acuity--uncorr ETDRS
79879-3,L eye Vis acuity--uncorr ETDRS
79880-1,R eye Vis acuity--corr Snellen
79881-9,L eye Vis acuity--corr Snellen
79882-7,R eye Vis acuity--uncorr Snellen
79883-5,L eye Vis acuity--uncorr Snellen
79884-3,Study obs Visual pathway-R VEP
79885-0,Study obs Visual pathway-L VEP
79886-8,R ant chamber Cells Slit lamp
79887-6,L Ant chamber Cells Slit lamp
79888-4,R ant chamber Flare Slit lamp
7988-9,B pseudomal IgG Ser-aCnc
79889-2,L Ant chamber Flare Slit lamp
798-9,RBC # Ur Auto
79890-0,Deprecated Axial length Eye-R
79891-8,Type of Nystagmus
79892-6,R eye IOP Tono
79893-4,L eye IOP Tono
79894-2,ERG measurements Pnl
79895-9,Subj refraction meas Pnl
79896-7,Tonometry meas Pnl
7989-7,B pseudomal IgM Ser-aCnc
79897-5,Eye Phys find Pnl
79898-3,Obj refraction meas Pnl
79899-1,L pupil Pupillary resp
79900-7,Eye Nystagmus amp
79901-5,Eye Nystagmus dir
79902-3,L retinal ves Phys find Ophthalmoscopy
79903-1,R retinal ves Phys find Ophthalmoscopy
79904-9,R eye Ped visual acuity--uncorr
7990-5,RSV Ab Ser-aCnc
79905-6,L eye Ped visual acuity--uncorr
79906-4,L eye Ped visual acuity--corr
79907-2,R eye Ped visual acuity--corr
79908-0,Type of Ped visual acuity exam method
79909-8,PV ann ES diameter 2D US
79910-6,PV VTI sys
79911-4,MV med ann e-prime Vmax TDI.A4C
79912-2,MV PHT dias
7991-3,RSV IgG Ser-aCnc
79913-0,MV Vmax dias
79914-8,MV VTI dia
79915-5,Pulm vein A wave Vmax
79916-3,Pulm vein D wave Vmax
79917-1,Pulm vein S wave Vmax
79918-9,PV ED regurg velocity
79919-7,PV Max regurg blood flow vel.E wave
79920-5,Deprecated PV Vmax sys
7992-1,RSV IgM Ser-aCnc
79921-3,TV Max regurg vel sys
79922-1,TV ann a-prime Vmax TDI
79923-9,TV A-wave Vmax
79924-7,TV ann e-prime Vmax TDI
79925-4,TV E-wave Vmax
79926-2,TV ann s-prime Vmax TDI
79927-0,TV Vmax dias
79928-8,PV Flow accel time sys
79929-6,RV Ejection time
79930-4,TV Closure to opening Time
79931-2,TV Flow decel time dias
79932-0,TV PISA radius sys US.2D+DOP
79933-8,TV VC diameter sys US.2D+DOP
79934-6,PV ED max press grad Simp Bern
79935-3,PV Max press grad sys Simp Bern
79936-1,RV FAC A4C
79937-9,TV Max press grad sys Simp Bern
79938-7,TV Mean press grad dias Simp Bern
7993-9,Rhinovirus RNA Spec Ql NAA+probe
79939-5,TV Max press grad dias Simp Bern
79940-3,AV ann ES diameter 2D US
79941-1,AV Regurg rate dias PISA
79942-9,AV Regurg fraction
79943-7,AV Regurg jet area/LVOT area US.2D.PLN
79944-5,AV Regurg jet width/LVOT width US.2D+DOP
79945-2,AV PISA radius dias US.2D+DOP
79946-0,AV PISA velocity dias
7994-7,Rickettsia Ab Ser-aCnc
79947-8,AV PHT dias
79948-6,AV VC diameter dias US.2D+DOP
79949-4,AV Max regurg vel dias
79950-2,AV Regurg vol dias Continuity VTI
79951-0,AV Regurg vol dias PISA
79952-8,AV VTI dia
79953-6,AO root ES diameter 2D US
7995-4,R prowazek Ab Ser-aCnc
79954-4,AO root ES diameter (2D US)/BSA
79955-1,AO.sinotub junc ES diameter 2D US
79956-9,AV EOA sys Continuity Vmax
79957-7,AV EOA sys (Continuity Vmax)/BSA
79958-5,AV EOA sys Continuity VTI
79959-3,AV EOA sys (Continuity VTI)/BSA
79960-1,AV EROA dias PISA
79961-9,AV Mean flow vel sys
7996-2,R prowazek RNA Ser Ql NAA+probe
79962-7,AV Mean press grad sys Simp Bern
79963-5,AV Max grad sys Simp Bern
79964-3,AV Vmax sys
79965-0,AV VTI sys
79966-8,ATA Diam sys 2D US
79967-6,IVC End exp diameter 2D US
79968-4,IVS ED thickness M-mode
79969-2,IVS ED thickness 2D US
799-7,RBC # Ur Manual
7997-0,Rick SF Ab Ser-aCnc
79970-0,IVS ES thickness M-mode
79971-8,IVS ES thickness 2D US
79972-6,IVS Time to peak displace US.M-mode+ECG
79973-4,LA ES area A2C
79974-2,LA ES area A4C
79975-9,LA ES minor axis 2D US
79976-7,LA ES minor axis (2D US)/BSA
79977-5,LA ES minor axis M-mode
79978-3,LA ES minor axis (M-mode)/BSA
79979-1,LA ES length A2C
79980-9,LA ES length A4C
79981-7,LA ES vol Biplane area-length
79982-5,LA ES vol (Biplane area-length)/BSA
79983-3,LA ES vol biplane MOD
79984-1,LA ES vol (biplane MOD)/BSA
79985-8,LA ES vol A2C MOD
79986-6,LA ES vol A4C MOD
79987-4,Left PA ES diameter 2D US
7998-8,Rick SF IgG Ser-aCnc
79988-2,LVPW Time to peak displace US.M-mode+ECG
79989-0,LV Pre eject time
79990-8,LV EF 3D segmentation
79991-6,LV EF biplane MOD
79992-4,LV EF A2C MOD
79993-2,LV EF A4C MOD
79994-0,LV ED length A4C
79995-7,LV ED vol 3D segmentation
7999-6,Rick SF IgM Ser-aCnc
79996-5,LV ED vol biplane MOD
79997-3,LV ED vol (biplane MOD)/BSA
79998-1,LV ED vol A2C MOD
79999-9,LV ED vol A4C MOD
80000-3,LV ES vol 3D segmentation
80001-1,LV ES vol biplane MOD
8000-2,Rick Typhus Ab Ser-aCnc
80002-9,LV ES vol (biplane MOD)/BSA
80003-7,LV ES vol A2C MOD
80004-5,LV ES vol A4C MOD
80005-2,LV ED area SAX at PM
80006-0,LV ED epicard area SAX at PM
80007-8,LV ED minor axis 2D US
80008-6,LV ED minor axis M-mode
80009-4,LV ED minor axis (M-mode)/BSA
8001-0,Rick Typhus IgG Ser-aCnc
80010-2,LV ED minor axis (2D US)/BSA
80011-0,LV ES minor axis 2D US
80012-8,LV ES minor axis M-mode
80013-6,LV ES minor axis (M-mode)/BSA
80014-4,LV ES minor axis (2D US)/BSA
80015-1,LV Isovolumic relaxation time TDI
80016-9,LV ED myo mass US.2D+A-L
80017-7,LV ED myo mass (US.2D+A-L)/BSA
80018-5,LV ED myo mass (US.2D+A-L)/Ht exp 2.7
80019-3,LV ED myo mass US.2D+dim
80020-1,LV ED myo mass (US.2D+dim)/BSA
80021-9,LV ED myo mass (US.2D+dim)/Ht exp 2.7
80022-7,LV ED myo mass US.M-mode+dim
80023-5,LV ED myo mass (US.M-mode+dim)/BSA
80024-3,LV ED myo mass (US.M-mode+dim)/Htexp2.7
80025-0,LV ED myo mass US.2D+trunc ellips
80026-8,LV ED myo mass (US.2D+trunc ellips)/BSA
80027-6,LV ED myo mass (US.2D+tr ellip)/Htexp2.7
8002-8,Rick Typhus IgM Ser-aCnc
80028-4,LVOT ED diameter 2D US
80029-2,LVOT Vmax sys
800-3,Schistocytes Bld Ql Smear
80030-0,LVOT VTI sys
80031-8,LVPW ED thickness M-mode
80032-6,LVPW ED thickness 2D US
80033-4,LVPW ES thickness M-mode
80034-2,LVPW ES thickness 2D US
80035-9,LV SV 3D segmentation
8003-6,R rickettsi IgG Ser-aCnc
80036-7,LV.basal ant Time to S Vmax TDI
80037-5,LV.basal ant septum Time to S Vmax TDI
80038-3,LV.basal inf Time to S Vmax TDI
80039-1,LV.basal lat Time to S Vmax TDI
80040-9,LV.basal post Time to S Vmax TDI
80041-7,LV.basal sept Time to S Vmax TDI
80042-5,LV.mid ant Time to S Vmax TDI
80043-3,LV.mid ant septum Time to S Vmax TDI
8004-4,R rickettsi IgM Ser-aCnc
80044-1,LV.mid inf Time to S Vmax TDI
80045-8,LV.mid lat Time to S Vmax TDI
80046-6,LV.mid post Time to S Vmax TDI
80047-4,LV.mid sept Time to S Vmax TDI
80048-2,LV Dyssynchrony index TDI
80049-0,Main PA ES diameter 2D US
80050-8,MV ann ED diameter A2C
8005-1,R rickettsi RNA Ser Ql NAA+probe
80051-6,MV ann ED diameter A4C
80052-4,MV ann ED diameter PLAX
80053-2,MV ann VTI dia
80054-0,MV lat ann e-prime Vmax TDI.A4C
80055-7,MV Regurg fraction Continuity VTI
80056-5,MV Regurg fraction PISA
80057-3,MV Max regurg rate sys PISA
80058-1,MV Max press grad sys Simp Bern
80059-9,MV PISA radius sys US.2D+DOP
80060-7,MV PISA V sys US.2D+DOP
80061-5,MV VC diameter sys US.2D+DOP
80062-3,MV Max regurg vel sys
80063-1,MV Regurg vol sys Continuity VTI
80064-9,MV Regurg vol sys PISA
80065-6,MV A-wave duration
80066-4,MV A-wave Vmax
80067-2,MV EOA dias PISA
80068-0,MV Max orifice area diastole Planimetry
8006-9,O tsut Ab Ser-aCnc
80069-8,MV EOA dias DOP PHT
80070-6,MV E-wave Vmax
80071-4,MV EROA sys PISA
80072-2,MV E-wave Vp US.M-mode+DOP.A4C
80073-0,MV Mean press grad dias Simp Bern
80074-8,MV Max press grad dias Simp Bern
80075-5,RA ES area A4C
80076-3,RA ES major axis A4C
8007-7,R typhi IgG Ser-aCnc
80077-1,RA ES minor axis A4C
80078-9,RA ES minor axis (A4C)/BSA
80079-7,Right PA ES diameter 2D US
80080-5,RV basal ED minor axis A4C
80081-3,RV ED area A4C
80082-1,RV ES area A4C
80083-9,RV.ant wall ED thickness 2D US
80084-7,RV.ant wall ED thickness M-mode
8008-5,R typhi IgM Ser-aCnc
80085-4,RV mid-cavity ED minor axis A4C
80086-2,RV MPI
80087-0,Distal RVOT ED diameter PSAX
80088-8,Proximal RVOT ED diameter Parasternal
80089-6,RVOT VTI sys
80090-4,RV Pre eject time DOP+ECG
80091-2,TV ann ED diameter A4C
80092-0,Glycyl-4-OH-proline/Creat Ur-sRto
8009-3,B quintana IgG Ser-aCnc
80093-8,Glucosamine SerPl-sCnc
80094-6,Glutamyl-phe/Creat Ur-sRto
80095-3,Galactosamine/Creat Ur-sRto
80096-1,Glutamyl-phe SerPl-sCnc
80097-9,Glycyl-4-OH-proline SerPl-sCnc
80098-7,Glucosamine/Creat Ur-sRto
80099-5,L2HG/Creat Ur-sRto
80100-1,D2HG/Creat Ur-sRto
8010-1,B quintana IgM Ser-aCnc
80101-9,R eye Ant chamber angle
80102-7,L eye Ant chamber angle
80103-5,R chorioretina Phys find Ophthalmoscopy
80104-3,L chorioretina Phys find Ophthalmoscopy
80105-0,L optic n Phys find Ophthalmoscopy
80106-8,R optic n Phys find Ophthalmoscopy
80107-6,Stereopsis Randot
80108-4,Stereopsis Titmus
80109-2,Fet Preg risk fact prenat genetic test
801-1,Sickle Cells Bld Ql Smear
80110-0,ED Visit notifctn note
80111-8,11OH-THC Bld Cfm-mCnc
80112-6,11OH-THC Fld Cfm-mCnc
80113-4,11OH-THC Ur Cfm-mCnc
80114-2,2-oxo-3-OH-LDS Bld Cfm-mCnc
80115-9,6MAM Bld Cfm-mCnc
80116-7,6MAM Fld Cfm-mCnc
80117-5,7Aminoflunitrazepam Fld Cfm-mCnc
80118-3,Abacavir BldCo-mCnc
8011-9,RV Stl Ql EM
80119-1,Acebutolol Hair Cfm-mCnt
80120-9,Acenocoumarol Hair-mCnt
80121-7,Acyclovir CSF-mCnc
80122-5,Alfentanil Bld Cfm-mCnc
80123-3,Alizapride Hair-mCnt
80124-1,Alminoprofen Hair-mCnt
80125-8,Aluminum Tiss-mCnt
80126-6,Aluminum Fld-sCnc
8012-7,RV dsRNA Stl Ql NAA+probe
80127-4,Aluminum CSF-sCnc
80128-2,Amisulpride Hair-mCnt
80129-0,Amisulpride Bld-mCnc
80130-8,Amisulpride Fld-mCnc
80131-6,Amisulpride Ur-mCnc
80132-4,amLODIPine Hair-mCnt
80133-2,Amoxicillin CSF-mCnc
80134-0,Amphet Hair Cfm-mCnt
8013-5,RUBV Ab Ser-aCnc
80135-7,Amphet Fld Cfm-mCnc
80136-5,Antihistamines Bld Ql Scn
80137-3,Antihistamines Fld Ql Scn
80138-1,Antimony Tiss-mCnt
80139-9,Antimony Tiss-sCnt
80140-7,Antimony Fld-sCnc
80141-5,Arsenic Fld-sCnc
80142-3,Atazanavir CSF Cfm-mCnc
8014-3,RUBV IgG Ser-aCnc
80143-1,Atazanavir BldCo-mCnc
80144-9,EME Ur Ql Scn
80145-6,Silver Fld-sCnc
80146-4,Tricyclics Bld Ql Scn
80147-2,Tricyclics Fld Ql Scn
80148-0,Tricyclics SerPl Ql Scn
80149-8,Tricyclics Ur Ql Scn>1000 ng/mL
8015-0,RUBV IgM Ser-aCnc
80150-6,Trimeprazine Hair-mCnt
80151-4,B abortus IgG Titr Ser Aggl
80152-2,Me-histamine/Creat 24h Ur-sRto
80153-0,sCD27 CSF-aCnc
80154-8,MLCL/CL DBS-sRto
80155-5,sCD27 SerPl-aCnc
80156-3,3Me-tyramine/Creat Ur-sRto
80157-1,Etiocholanolone SerPl-sCnc
80158-9,Gal-Hyl/Creat Ur-sRto
80159-7,27-Norcholestanehexol/Creat Ur-Rto
80160-5,"5b-cholest-3a,7a,12a,23-tetrol/Creat Ur"
80161-3,"5b-choles-3a,7a,12a,24,25-pent/Creat Ur"
80162-1,Bile alcohols Ur-Imp
80163-9,Bile alcohols Pnl Ur
80164-7,Bile alcohols pattern Ur-Imp
80165-4,2-Amino-4OH-pteridine CSF-sCnc
80166-2,2-Amino-4OH-pteridine SerPl-sCnc
80167-0,2-Amino-4OH-pteridine/Creat SerPl-sRto
8016-8,SLEV IgG Ser-aCnc
80168-8,Pterins Pnl CSF
80169-6,Pterins Pnl SerPl
80170-4,Pterins Pnl Ur
80171-2,Pterins pattern Ur-Imp
80172-0,Pterins pattern SerPl-Imp
80173-8,Pterins pattern CSF-Imp
80174-6,SAH CSF-sCnc
80175-3,SAH SerPl-sCnc
8017-6,SLEV IgM Ser-aCnc
80176-1,SAH/Creat Ur-sRto
80177-9,SAMe CSF-sCnc
80178-7,SAMe and SAH Pnl SerPl
80179-5,SAMe and SAH Pnl CSF
80180-3,SAMe and SAH pattern CSF-Imp
80181-1,SAMe and SAH pattern SerPl-Imp
80182-9,SAMe/Creat Ur-sRto
80183-7,Xanthopterin SerPl-sCnc
8018-4,S japonicum Ab Ser-aCnc
80184-5,Xanthopterin CSF-sCnc
80185-2,Xanthopterin/Creat Ur-sRto
80186-0,JAK2 exon 12 Mut Anl Mar
80187-8,JAK2 exon 14 Mut Anl Bld/T
80188-6,JAK2 exon 14 Mut Anl Mar
80189-4,Galactosamine SerPl-sCnc
80190-2,Cath+angio proc det Pnl
80191-0,Spasm stress test Pnl
8019-2,S mansoni Ab Ser-aCnc
80192-8,Coronary segment addl details Pnl
80193-6,EME Bld Cfm-mCnc
80194-4,EME Fld Cfm-mCnc
80195-1,EME SerPl Cfm-mCnc
80196-9,EME Bld Ql Scn
80197-7,Antihistamines SerPl Ql Scn
80198-5,NSAIDs Bld Ql Scn
80199-3,NSAIDs Fld Ql Scn
80-2,Cefixime Islt MIC
8020-0,Schistosoma Ab Ser Ql
80200-9,NSAIDs Ur Ql Scn
80201-7,Alizapride Ur-mCnc
80202-5,PPL p Fxa PPP
80203-3,HIV 1 & 2 Ab SerPlBld IA.rapid
80204-1,FLUAV + FLUBV Nph Shell Vial Cult
80205-8,JEV+TBEV+WNV+YFV IgG SerPl Ql IF
80206-6,JEV+TBEV+WNV+YFV IgM Ser Ql IF
80207-4,L infantum+donovani IgM Titr SerPl IF
80208-2,L infantum+donovani IgG Titr SerPl IF
80209-0,Barium Fld-sCnc
80210-8,Beryllium Fld-mCnc
80211-6,Beryllium Fld-sCnc
80212-4,Beta Blockers Hair Ql Scn
80213-2,Beta Blockers Bld Ql Scn
80214-0,Beta Blockers SerPl Ql Scn
80215-7,Beta Blockers Fld Ql Scn
80216-5,Soc Psych Behav 2015 set
80217-3,M hyopneumo Ag Ftis Ql ImStn
8021-8,SLEV Ab CSF Ql IA
80218-1,M hyop Ab sample/Bf contr Ser IA
80219-9,M hyop Ab sample/Pos cntrl Ser IA
80220-7,NMDAR IgG Titr CSF IF
80221-5,NMDAR IgG Titr Ser IF
80222-3,CD8 Cells/lymph NFr Spec
80223-1,CD4 Cells/lymph NFr Spec
80224-9,Type of RCA cath
80225-6,Type of LCA cath
8022-6,SLEV Ab Ser CF-aCnc
80226-4,Type of Pig cath
80227-2,Percent sten of R-PLB
80228-0,Percent sten of D1a
80229-8,Percent sten of D2a
80230-6,Orifice area AV Cardiac Cath
80231-4,Orifice area MV Cardiac Cath
80232-2,A-wave amp PAW Cardiac Cath
80233-0,V wave amp PAW Cardiac Cath
8023-4,SLEV Ab Ser Ql IA
80234-8,A-wave amp RA Cardiac Cath
80235-5,V wave amp RA Cardiac Cath
80236-3,A-wave amp LA Cardiac Cath
80237-1,V wave amp LA Cardiac Cath
80238-9,Drug given for spasm stress test
80239-7,Percent sten of Cor aa seg --p procedure
80240-5,Cor stent expan press
80241-3,Cor stent expan time
8024-2,SLEV Ab Ser Ql IF
80242-1,IV contrast Gvn Vol
80243-9,Cardiac cath access site
80244-7,M hyopneumo DNA Ct Spec Qn NAA+probe
80245-4,Proc seq
80246-2,AV nodal Pr on Angio
80247-0,R-PDA Pr on Angio
80248-8,R-PLB Pr on Angio
80249-6,D1 Pr on Angio
80250-4,D1a Pr on Angio
80251-2,D2 Pr on Angio
80252-0,D2a Pr on Angio
80253-8,OM Pr on Angio
80254-6,LCx Pr on Angio
80255-3,L-PLB Pr on Angio
80256-1,L-PDA Pr on Angio
80257-9,RI Pr on Angio
80258-7,Pre-cardiac cath dx
8025-9,SLEV RNA Ser Ql NAA+probe
80259-5,GI assessment Pnl
80260-3,Bowel elim pattern
80261-1,BM freq
80262-9,BM usual time of day
80263-7,BM regularity
80264-5,Usual consistency Stl
80265-2,Date of last BM
80266-0,Bowel sounds by Auscultation
8026-7,Stn Meth Spec
80267-8,Bowel sounds qual by Auscultation
80268-6,BS quad Abd
80269-4,Appearance Abd
80270-2,Passing flatus
80271-0,Phys find Abd by Palpation
80272-8,Amount Stl
80273-6,GI assess Imp
80274-4,Hx of Surg proc of GI system
8027-5,Deprecated S pneum14 IgG Ser IA-aCnc
80275-1,CV Assessment Pnl
80276-9,Heart sounds
80277-7,Murmur assessment Pnl
80278-5,Hrt Murmur grade
80279-3,Hrt Murmur quality
80280-1,Hrt MUrmur pitch
80281-9,Hrt Murmur timing
80282-7,Murmur location Auscultation
8028-3,S pneum Da 7F IgG Ser IA-aCnc
80283-5,Murmur radiating to bdy loc Auscultation
80284-3,Pulse intensity assessment Pnl
80285-0,CV assess Imp
80286-8,Hx of Surg proc of CV system
80287-6,Neurological assessment Pnl
80288-4,Level of consciousness
80289-2,Temporal orientation Pnl
802-9,Spherocytes Bld Ql Smear
80290-0,Temporal orientation - person
8029-1,Deprecated S pneum9 IgG Ser IA-aCnc
80291-8,Temporal orientation - place
80292-6,Temporal orientation - time
80293-4,Temporal orientation assessessment Imp
80294-2,Level of arousal
80295-9,Speech clarity
80296-7,Pt Mood
80297-5,Pt Memory
80298-3,Ability to concentrate
80299-1,Ability to direct attention
80300-7,CN assessment Pnl
80301-5,CN I exam
80302-3,CN III+IV+VI exam
80303-1,CN V exam
80304-9,CN VII exam
80305-6,CN VIII exam
80306-4,CN IX exam
80307-2,CN X exam
80308-0,CN XI exam
8030-9,S pneum Ab Ser Ql
80309-8,CN XII exam
80310-6,Pupil assessment Pnl
80311-4,Pupil shape Shape L pupil
80312-2,Pupil shape Shape R pupil
80313-0,Pupil assessment Imp
80314-8,Neuro assessment Imp
80315-5,Hx of Surg proc of neuro system
80316-3,Pain scale type
8031-7,S pneum IgG Ser-aCnc
80317-1,Pain assessment Imp
80318-9,Resp assessment Pnl
80319-7,Breath sounds Auscultation
80320-5,Respiratory assessment Imp
80321-3,Musculoskeletal assessment Pnl
80322-1,Muscle strength
80323-9,Invol movements
80324-7,Tendon reflex assessment Pnl
8032-5,S pneum IgM Ser-aCnc
80325-4,Oculocephalic reflex Neurologic
80326-2,Paralysis type
80327-0,Paresthesia type
80328-8,Musculoskeletal assessment Imp
80329-6,Hx of Surg proc of MS system
80330-4,GU assessment Pnl
80331-2,Date+time last void GU
80332-0,Voiding pattern GU
8033-3,Deprecated S pneum3 IgG Ser IA-aCnc
80333-8,Other elements Ur
80334-6,Urine collect device
80335-3,Genitourinary assessment Imp
80336-1,Hx of Surg proc of GU system
80337-9,Deprecated Hx of GU disorders Reported
80338-7,Wound assessment Imp
80339-5,Vital signs assessment Imp
80340-3,Nonpharm pain intervention
8034-1,Strongyloides Ab Ser-aCnc
80341-1,Resp effort
80342-9,Loc breath sounds Ausc
80343-7,Skin assessment Imp
80344-5,Skin integrity
80345-2,Pressure points examined Skin
80346-0,Nursing phys assessment Pnl
80347-8,Mucous membrane integrity
80348-6,EPEC eae gene Stl Ql NAA+non-probe
80349-4,EAEC pAA plas aggR+aatA St NAA+non-prb
80350-2,Shigella sp+EIEC ipaH St NAA+non-probe
80351-0,ETEC ltA+st1a+st1b tox St NAA+non-probe
80352-8,Env temp transport
80353-6,HSV 1 DNA pol regB+TK regC Anogn Ql NAA+pr
80354-4,HSV 1+2 DNA Pnl Anogenital NAA+probe
80355-1,HSV 2 glyco B 3'+TK regC Anogn Ql NAA+pr
80356-9,
80357-7,
8035-8,S stercoralis IgG Ser Ql
80358-5,
80359-3,
80360-1,C trach+GC rRNA Ur Ql NAA+probe
80361-9,C trach+GC rRNA Cvx Ql NAA+probe
80362-7,C trach+GC rRNA Vag Ql NAA+probe
80363-5,C trach DNA Rectum Ql NAA+probe
80364-3,C trach rRNA Rectum Ql NAA+probe
80365-0,C trach+GC rRNA Rectum Ql NAA+probe
8036-6,T saginata Ab Ser-aCnc
80366-8,N gonorrhoea rRNA Rectum Ql NAA+probe
80367-6,C trach Rectum Ql Cult
80368-4,N gonorrhoea Rectum Ql Cult
80369-2,Neisseria Rectum Cult
803-7,Toxic Granules Bld Ql Smear
80370-0,Biotinidase SerPl-cCnt
80371-8,Chitotriosidase SerPl-cCnt
80372-6,Hemoccult Stl Ql IA.rapid
80373-4,H pylori Ag Stl Ql IA.rapid
8037-4,T sol adult Ab Ser-aCnc
80374-2,Adeno + Noro + Rota Ag Pnl Stl EIA.rap
80375-9,Norovirus Ag Stl Ql IA.rapid
80376-7,Rota + Adeno Ag Pnl Stl EIA.rapid
80381-7,FLUAV + FLUBV Ag Pnl Nph IA.rapid
8038-2,T canis Ab Ser-aCnc
80382-5,FLUAV Ag Nph Ql IA.rapid
80383-3,FLUBV Ag Nph Ql IA.rapid
80384-1,HCG Preg Ur Ql IA.rapid
80385-8,HCG Preg Ser Ql IA.rapid
80386-6,Bladder tumor Ag Ur Ql IA.rapid
80387-4,HIV1+2 Ab SerPlBld Ql IA.rapid
80389-0,Medical/resuscitation needs
8039-0,T gondii IgG Ser-aCnc
80390-8,Family unification code
80391-6,Level of care Type
80392-4,Special accommodation Type
80393-2,EM incident name
80394-0,EM incident type
80395-7,Date of GA estimate
80396-5,Gyn Onc Consult note
80397-3,Num of W postpartum
80398-1,Unique ID Current sample
80399-9,Occup exp info Pnl
80400-5,Testing facility Pnl
80401-3,Employment info Pnl
80402-1,Egg source
80403-9,Resp wave amp
80404-7,RR.sd (HR var)
80405-4,Provider Certification [Type]
80406-2,TmStp initial encounter
80407-0,Contam+radiation+contagion status
8040-8,T gondii IgM Ser-aCnc
80408-8,Meets CDC field triage criteria
80409-6,Bed type
80410-4,Date+time trans departure
80411-2,EM incident location
80412-0,Encounter location
80413-8,Transferred to
80414-6,HC/AC from Campbell 1991
80415-3,FWP by Hadlock91
8041-6,T pallidum Ab Ser Ql HA
80416-1,HC/AC from Campbell 1977
80417-9,Comm hlth care Risk assess+scrn note
80418-7,Comm hlth care Med equip or product list
80419-5,Comm hlth care Referral note
80420-3,Mental health Mandatory reporting form
